makine_turu,calisma_saati,genel_bakim_periyodu_saat,sicaklik_durumu,titresim_hissi,yag_seviyesi,genel_durum,sizinti_durumu,kablo_hasar_durumu,hidrolik_yag_durumu,rezistans_kokusu,bor_yag_rengi,spindle_titresim,alt_su_tahliye,mercek_temizligi,kaynak_torcu,kablo_sarmali,isik_bariyeri,sizma_kontrolu,termal_gozlem,sogutma_suyu,teflon_kontrolu,fotosel_algilama,Hedef_Ariza_Tipi,Hedef_Gercek_Yipranma
Paketleme ve Lojistik,3492,8000,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HDF,88.23
Döküm ve Isıl İşlem,132,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,2.64
Kalite Kontrol,3426,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,68.52
Plastik ve Enjeksiyon,1974,4000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,55.08
Yardımcı Tesis,4609,8000,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yok,80.41
Sac ve Şekillendirme,972,5000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,23.74
Döküm ve Isıl İşlem,943,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Yok,18.86
Kalite Kontrol,5558,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,92.63
Paketleme ve Lojistik,3202,8000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,43.86
Yardımcı Tesis,4778,6000,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,HDF,100.0
Döküm ve Isıl İşlem,4022,6000,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,89.11
Talaşlı İmalat,846,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,10.57
Talaşlı İmalat,2305,4000,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,Yok,57.63
Yardımcı Tesis,6207,8000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,82.75
Otomasyon ve Robotik,6351,6000,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Yardımcı Tesis,2443,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,48.86
Talaşlı İmalat,545,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,10.9
Döküm ve Isıl İşlem,5680,8000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,74.06
Otomasyon ve Robotik,3397,4000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,89.76
Yardımcı Tesis,3030,5000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,62.81
Talaşlı İmalat,3393,5000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Yok,67.86
Talaşlı İmalat,2742,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,68.55
Kalite Kontrol,3108,4000,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,98.9
Paketleme ve Lojistik,4630,6000,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,99.27
Sac ve Şekillendirme,2020,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,50.5
Otomasyon ve Robotik,2192,4000,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TWF,95.83
Döküm ve Isıl İşlem,991,4000,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,45.53
Yardımcı Tesis,2724,4000,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Yok,70.35
Talaşlı İmalat,1625,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,27.08
Plastik ve Enjeksiyon,335,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,8.38
Sac ve Şekillendirme,6012,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,75.15
Döküm ve Isıl İşlem,2634,6000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,43.9
Kalite Kontrol,1020,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,12.75
Talaşlı İmalat,925,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,23.12
Döküm ve Isıl İşlem,4391,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,Yok,87.82
Sac ve Şekillendirme,2414,4000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,60.35
Talaşlı İmalat,3421,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,85.52
Otomasyon ve Robotik,467,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,11.68
Döküm ve Isıl İşlem,6103,8000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Yok,78.97
Yardımcı Tesis,3828,6000,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TWF,81.03
Sac ve Şekillendirme,1392,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,23.2
Sac ve Şekillendirme,8123,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Sac ve Şekillendirme,2653,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,66.33
Kalite Kontrol,3375,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,56.25
Sac ve Şekillendirme,6063,6000,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Döküm ve Isıl İşlem,3175,6000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Yok,52.92
Kalite Kontrol,1375,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,34.38
Sac ve Şekillendirme,8763,8000,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HDF,100.0
Otomasyon ve Robotik,2268,8000,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HDF,83.41
Plastik ve Enjeksiyon,6026,8000,1,0,1,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,OSF,91.69
Talaşlı İmalat,1898,6000,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,Yok,31.63
Talaşlı İmalat,8063,8000,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Döküm ve Isıl İşlem,1963,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,Yok,83.59
Otomasyon ve Robotik,2541,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,63.52
Otomasyon ve Robotik,847,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,21.18
Sac ve Şekillendirme,2011,6000,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,39.21
Kalite Kontrol,883,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,22.07
Talaşlı İmalat,6692,8000,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Yok,83.65
Plastik ve Enjeksiyon,2642,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,44.03
Sac ve Şekillendirme,593,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,9.88
Sac ve Şekillendirme,5211,8000,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OSF,91.32
Paketleme ve Lojistik,5102,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,63.78
Otomasyon ve Robotik,4406,8000,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,77.06
Döküm ve Isıl İşlem,2275,4000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,60.62
Sac ve Şekillendirme,452,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,5.65
Paketleme ve Lojistik,5252,6000,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OSF,87.53
Plastik ve Enjeksiyon,5252,8000,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Yok,69.69
Paketleme ve Lojistik,6589,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Otomasyon ve Robotik,5440,5000,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Plastik ve Enjeksiyon,1321,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,16.51
Otomasyon ve Robotik,3582,4000,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Plastik ve Enjeksiyon,2316,4000,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,57.9
Yardımcı Tesis,1720,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,28.67
Yardımcı Tesis,1701,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,34.02
Sac ve Şekillendirme,5511,8000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,73.57
Döküm ve Isıl İşlem,5671,8000,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,90.73
Yardımcı Tesis,7307,8000,2,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,HDF,100.0
Paketleme ve Lojistik,264,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,6.6
Yardımcı Tesis,2751,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,34.39
Plastik ve Enjeksiyon,940,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,15.67
Otomasyon ve Robotik,2286,6000,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,58.81
Kalite Kontrol,1906,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,38.12
Talaşlı İmalat,4539,6000,0,2,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,TWF,85.86
Otomasyon ve Robotik,6116,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,76.45
Paketleme ve Lojistik,6722,8000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,88.58
Paketleme ve Lojistik,1513,4000,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,40.94
Talaşlı İmalat,709,5000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Yok,14.18
Sac ve Şekillendirme,187,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,4.67
Döküm ve Isıl İşlem,5905,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PWF,98.42
Sac ve Şekillendirme,2904,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,48.4
Kalite Kontrol,3594,5000,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,93.54
Otomasyon ve Robotik,217,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,5.42
Döküm ve Isıl İşlem,6073,8000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Yok,75.91
Otomasyon ve Robotik,6301,6000,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Otomasyon ve Robotik,1496,4000,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,62.32
Sac ve Şekillendirme,1829,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,22.86
Plastik ve Enjeksiyon,432,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,10.8
Otomasyon ve Robotik,1755,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,29.25
Paketleme ve Lojistik,6787,8000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,88.84
Döküm ve Isıl İşlem,86,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,1.43
Paketleme ve Lojistik,3001,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,60.02
Yardımcı Tesis,6955,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,86.94
Sac ve Şekillendirme,1956,6000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,37.59
Plastik ve Enjeksiyon,6626,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,82.83
Yardımcı Tesis,247,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,4.12
Kalite Kontrol,5476,8000,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HDF,85.56
Paketleme ve Lojistik,6551,6000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Paketleme ve Lojistik,1194,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,29.85
Döküm ve Isıl İşlem,2718,5000,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,58.97
Kalite Kontrol,8062,8000,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HDF,100.0
Sac ve Şekillendirme,953,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,15.88
Döküm ve Isıl İşlem,4335,6000,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,OSF,72.25
Paketleme ve Lojistik,5480,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,68.5
Yardımcı Tesis,1719,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,42.98
Talaşlı İmalat,547,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,9.12
Plastik ve Enjeksiyon,5353,8000,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OSF,66.91
Plastik ve Enjeksiyon,5383,6000,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Döküm ve Isıl İşlem,1645,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yok,41.12
Paketleme ve Lojistik,2130,4000,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,61.87
Yardımcı Tesis,5083,6000,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yok,88.15
Otomasyon ve Robotik,1449,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,28.98
Plastik ve Enjeksiyon,606,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,10.1
Paketleme ve Lojistik,1571,6000,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HDF,48.86
Kalite Kontrol,3998,4000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Sac ve Şekillendirme,4159,4000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Talaşlı İmalat,8122,8000,1,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,TWF,100.0
Otomasyon ve Robotik,967,5000,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OSF,41.38
Otomasyon ve Robotik,8292,8000,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OSF,100.0
Kalite Kontrol,4771,6000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,83.92
Kalite Kontrol,3088,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,77.2
Paketleme ve Lojistik,4337,4000,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TWF,100.0
Otomasyon ve Robotik,4058,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,67.63
Plastik ve Enjeksiyon,4728,8000,2,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,PWF,95.22
Talaşlı İmalat,1775,4000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,44.38
Döküm ve Isıl İşlem,3771,4000,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TWF,100.0
Paketleme ve Lojistik,2627,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,43.78
Sac ve Şekillendirme,2764,4000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,73.73
Sac ve Şekillendirme,4029,6000,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TWF,84.52
Talaşlı İmalat,1885,4000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,51.35
Paketleme ve Lojistik,7718,8000,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TWF,100.0
Döküm ve Isıl İşlem,1981,4000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,Yok,86.57
Talaşlı İmalat,2570,4000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Yok,64.25
Yardımcı Tesis,1246,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,31.15
Otomasyon ve Robotik,2004,4000,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OSF,53.93
Paketleme ve Lojistik,8515,8000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Talaşlı İmalat,5542,6000,1,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,PWF,95.4
Paketleme ve Lojistik,7488,8000,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TWF,100.0
Talaşlı İmalat,3953,4000,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Döküm ve Isıl İşlem,4056,5000,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,HDF,100.0
Yardımcı Tesis,2780,6000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,46.33
Yardımcı Tesis,1694,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,28.23
Yardımcı Tesis,5181,5000,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Döküm ve Isıl İşlem,3345,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,66.9
Döküm ve Isıl İşlem,498,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,8.3
Talaşlı İmalat,4122,5000,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Yok,85.72
Kalite Kontrol,5803,6000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Plastik ve Enjeksiyon,3294,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,41.17
Döküm ve Isıl İşlem,78,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,1.3
Paketleme ve Lojistik,2737,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,34.21
Sac ve Şekillendirme,1134,4000,1,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OSF,37.75
Talaşlı İmalat,4778,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,79.63
Döküm ve Isıl İşlem,79,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,1.98
Plastik ve Enjeksiyon,5516,6000,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,94.28
Plastik ve Enjeksiyon,3615,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,90.38
Yardımcı Tesis,817,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,20.42
Yardımcı Tesis,4814,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,80.23
Döküm ve Isıl İşlem,4439,5000,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,TWF,100.0
Talaşlı İmalat,2943,4000,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TWF,100.0
Sac ve Şekillendirme,1609,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,32.18
Plastik ve Enjeksiyon,2643,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,44.05
Otomasyon ve Robotik,3151,4000,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,82.14
Paketleme ve Lojistik,3903,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,48.79
Plastik ve Enjeksiyon,3682,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,61.37
Talaşlı İmalat,1068,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,17.8
Kalite Kontrol,3400,4000,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,87.14
Otomasyon ve Robotik,1750,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,35.0
Sac ve Şekillendirme,2575,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,51.5
Döküm ve Isıl İşlem,754,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,15.08
Kalite Kontrol,5367,8000,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TWF,83.61
Paketleme ve Lojistik,3121,5000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,68.5
Otomasyon ve Robotik,2389,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,47.78
Sac ve Şekillendirme,4448,6000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,74.13
Döküm ve Isıl İşlem,2582,8000,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,52.87
Paketleme ve Lojistik,1371,5000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,27.42
Plastik ve Enjeksiyon,6352,6000,2,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HDF,100.0
Talaşlı İmalat,2512,4000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,62.8
Döküm ve Isıl İşlem,6923,8000,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Plastik ve Enjeksiyon,121,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,1.51
Döküm ve Isıl İşlem,3595,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,44.94
Sac ve Şekillendirme,5253,6000,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OSF,92.29
Döküm ve Isıl İşlem,6563,6000,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,PWF,100.0
Otomasyon ve Robotik,228,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,2.85
Plastik ve Enjeksiyon,4726,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,59.08
Yardımcı Tesis,3027,6000,2,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HDF,73.6
Talaşlı İmalat,7112,8000,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,92.36
Paketleme ve Lojistik,4935,5000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Plastik ve Enjeksiyon,4026,5000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,84.39
Plastik ve Enjeksiyon,4156,8000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,51.95
Yardımcı Tesis,6573,6000,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PWF,100.0
Paketleme ve Lojistik,1075,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,26.88
Otomasyon ve Robotik,1569,4000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,44.66
Otomasyon ve Robotik,1590,4000,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,60.03
Yardımcı Tesis,687,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,11.45
Kalite Kontrol,3857,6000,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HDF,100.0
Yardımcı Tesis,646,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yok,8.08
Plastik ve Enjeksiyon,3913,5000,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OSF,82.45
